0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0	143	2	4	0	0	0	1	0	2	1	0	0	0	2	0	5	0	0	0	8
1	2	166	12	3	3	6	2	0	1	0	1	0	2	0	0	0	0	0	0	1
2	0	16	159	15	1	8	2	0	2	0	0	0	5	0	0	0	0	0	1	0
3	1	8	23	145	4	6	6	0	0	0	0	1	12	0	0	0	0	0	2	0
4	1	14	10	8	149	4	4	0	0	0	0	0	12	0	0	0	0	0	0	0
5	0	19	10	1	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	2	10	6	4	0	164	5	1	0	2	0	3	0	1	0	0	0	1	0
7	0	4	4	0	0	1	7	131	3	1	0	0	7	0	0	0	0	0	0	0
8	0	4	9	0	0	0	3	1	148	0	0	0	3	0	0	0	0	0	3	0
9	1	7	3	0	0	1	2	0	1	186	3	0	7	1	0	0	0	0	0	0
10	0	7	1	0	0	1	2	1	0	1	181	0	3	0	0	0	0	0	0	0
11	0	8	3	0	0	4	1	0	0	0	0	168	4	1	0	0	1	0	6	1
12	0	9	7	6	1	1	3	0	1	0	0	2	152	0	0	0	1	0	0	0
13	2	10	3	0	0	1	4	0	3	0	0	0	7	176	1	0	0	0	2	0
14	0	13	3	0	0	4	2	1	0	0	0	0	8	1	170	0	0	0	0	0
15	4	6	2	0	0	1	0	0	0	0	0	0	2	2	0	171	0	0	1	0
16	0	2	6	0	0	0	6	1	1	2	0	0	8	2	0	0	163	0	4	2
17	0	4	1	0	0	0	2	1	1	0	0	0	2	3	0	3	1	176	3	0
18	0	3	3	0	0	2	2	0	1	0	0	0	3	1	0	0	13	3	115	0
19	9	3	2	0	0	0	1	2	0	0	0	0	2	2	0	19	5	0	1	71
